"DT";"DEAL_ID";"BALMAIN";"BALPRMN";"PRODUCT";"CURCODENUM";"CURCODE";"DOCBEGINDATE";"ENDDATEWOPROLONG";"ENDDATEWITHPROLONG";"OVERDUETERMMAINDAY";"OVERDUETERMPERCDAY";"OVERDUEDATEMAIN";"OVERDUEDATEPERC";"DOCSUMCUR";"DOCSUMRUR";"MAINRESTCUR";"MAINRESTRUR";"PRMNRESTCUR";"PRMNRESTRUR";"DOCPROCRATE";"SUMNACHPERCBALCUR";"SUMNACHPERCBALRUR";"SUMPRPERCBALCUR";"SUMPRPERCBALRUR";"RISKGROUP254";"RESERVERATERPBU";"SUMRESERVEMAINRPBU";"SUMRESERVEPRMNRPBU";"SUMRESERVEPRMN";"SUMRESERVEPRPR"
31.03.2020;64293568;"45507";;"Ипотека";"810";"Рубли";29.08.2012;29.08.2027;29.08.2027;;;;;12000000;12000000;5393900.75;5393900.75;;;12.5;;;;;"2";1;2750889.38;;;
31.03.2020;64293721;"45507";;"Ипотека";"810";"Рубли";18.03.2014;18.03.2029;18.03.2029;;;;;88000000;88000000;5495329.85;5495329.85;;;14;;;;;"2";1;54953.3;;;
31.03.2020;64298430;;"45815";"Ипотека";"810";"Рубли";08.05.2008;07.05.2020;07.05.2020;1;1;31.03.2020;31.03.2020;1215000;1215000;;;15328.29;15328.29;12;;;123.05;123.05;"2";1.5;;229.92;;1.85
31.03.2020;64298701;"47801";;"Ипотека";"810";"Рубли";20.09.2013;20.09.2023;20.09.2023;;;;;1500000;1500000;289409.95;289409.95;;;13.25;;;;;"2";0.35;1012.93;;;
31.03.2020;64298746;"47801";;"Ипотека";"810";"Рубли";18.03.2013;18.03.2033;18.03.2033;;;;;1337000;1337000;715291.71;715291.71;;;13.5;;;;;"2";0.35;2503.52;;;
31.03.2020;64299945;;"45815";"Ипотека";"810";"Рубли";30.06.2014;13.06.2018;13.06.2018;658;275;13.06.2018;01.07.2019;2000000;2000000;;;2569064.57;2569064.57;13.1;;;208325.32;208325.32;"5";100;;2569064.57;;208325.32
31.03.2020;64300379;;"45815";"Ипотека";"810";"Рубли";04.02.2008;03.02.2031;03.02.2031;4170;4170;31.10.2008;31.10.2008;3853621.98;3853621.98;;;3837707.46;3837707.46;0.1;;;1642532.57;1642532.57;"5";100;;3837707.46;;1642532.57
31.03.2020;64301870;"47801";;"Ипотека";"810";"Рубли";14.05.2008;14.05.2024;14.05.2024;;;;;2165000;2165000;702351.84;702351.84;;;13;;;;;"2";0.35;2458.23;;;
31.03.2020;64307630;;;"Ипотека";"810";"Рубли";11.11.2011;29.12.2026;29.12.2026;;;;;35723166;35723166;;;;;0;;;;;"5";100;;;;
31.03.2020;64319465;"47801";;"Ипотека";"810";"Рубли";15.08.2012;15.08.2032;15.08.2032;;;;;2400000;2400000;1834008.48;1834008.48;;;12.5;;;;;"2";0.35;6419.03;;;
31.03.2020;64321364;;;"Потреб";"810";"Рубли";21.12.2010;14.07.2016;14.07.2016;;1767;;31.05.2015;15000000;15000000;;;;;0;;;3350.21;3350.21;"5";100;;;;3350.21
31.03.2020;64321493;"47801";;"Ипотека";"810";"Рубли";13.12.2006;12.12.2021;12.12.2021;;;;;600000;600000;129101.41;129101.41;;;13;;;;;"2";0.35;451.85;;;
31.03.2020;64328654;"47801";;"Ипотека";"810";"Рубли";17.07.2014;03.07.2024;03.07.2024;;;;;2000000;2000000;517546.69;517546.69;;;12.45;;;;;"2";0.35;1811.41;;;
31.03.2020;64336224;"47801";"45815";"Ипотека";"810";"Рубли";20.09.2013;20.09.2033;20.09.2033;1;1;31.03.2020;31.03.2020;1600000;1600000;376074.55;376074.55;411.43;411.43;19;;;6059.57;6059.57;"2";1.5;5641.12;6.17;;90.89
31.03.2020;64337221;"47801";;"Ипотека";"810";"Рубли";13.04.2007;13.04.2022;13.04.2022;;;;;1830000;1830000;494331.47;494331.47;;;14;;;;;"2";0.35;1730.16;;;
31.03.2020;64345141;"47801";;"Ипотека";"810";"Рубли";16.05.2012;16.05.2027;16.05.2027;;;;;1392000;1392000;750506.57;750506.57;;;12.25;;;;;"2";0.35;2626.77;;;
31.03.2020;64347016;;"45815";"Ипотека";"810";"Рубли";16.06.2008;20.05.2032;20.05.2032;3228;3320;31.05.2011;28.02.2011;3000000;3000000;;;27038.23;27038.23;13;;;635770.67;635770.67;"5";100;;27038.23;;635770.67
31.03.2020;64353639;"47801";;"Ипотека";"810";"Рубли";29.12.2011;29.12.2026;29.12.2026;;;;;1400000;1400000;970106.85;970106.85;;;18;;;;;"2";0.35;3395.37;;;
31.03.2020;64357934;"47801";;"Ипотека";"810";"Рубли";12.03.2013;12.03.2029;12.03.2029;;;;;1114000;1114000;863740.66;863740.66;;;12.5;;;;;"2";0.35;3023.09;;;
31.03.2020;64385321;"47801";;"Ипотека";"810";"Рубли";25.03.2013;25.03.2033;25.03.2033;;;;;1090000;1090000;963215.11;963215.11;;;13.5;;;;;"2";0.35;3371.25;;;
31.03.2020;64392018;"47801";;"Ипотека";"810";"Рубли";15.01.2014;15.01.2023;15.01.2023;;;;;1680000;1680000;710112.23;710112.23;;;12.5;;;;;"2";0.35;2485.39;;;
31.03.2020;64392241;"45507";"45815";"Ипотека";"810";"Рубли";21.03.2008;20.03.2033;20.03.2033;1;1;31.03.2020;31.03.2020;1800000;1800000;1487228.36;1487228.36;3824.04;3824.04;12;;;15177.51;15177.51;"2";1.5;22308.43;57.36;;227.66
31.03.2020;64394518;"45507";;"Ипотека";"810";"Рубли";05.04.2013;05.04.2028;05.04.2028;;;;;3000000;3000000;955215.59;955215.59;;;13.75;;;;;"2";0.35;3343.25;;;
31.03.2020;64397129;"45507";;"Ипотека";"810";"Рубли";29.07.2013;29.07.2033;29.07.2033;;;;;2870000;2870000;2574602.56;2574602.56;;;14;;;;;"2";0.35;9011.11;;;
31.03.2020;64401979;;"45815";"Ипотека";"810";"Рубли";04.02.2008;03.02.2031;03.02.2031;4170;4170;31.10.2008;31.10.2008;3874910;3874910;;;3858909.94;3858909.94;0.1;;;1650911.84;1650911.84;"5";100;;3858909.94;;1650911.84
31.03.2020;64402764;"47801";;"Ипотека";"810";"Рубли";07.03.2008;07.03.2028;07.03.2028;;;;;1000000;1000000;523955.22;523955.22;;;12;;;;;"2";0.35;1833.84;;;
31.03.2020;64407995;"45507";"45815";"Потреб";"810";"Рубли";30.11.2015;30.11.2020;30.11.2020;184;92;30.09.2019;31.12.2019;15000000;15000000;2956766.51;2956766.51;2142433.73;2142433.73;16;177838.93;177838.93;351096.52;351096.52;"3";21;620920.97;449911.08;37346.18;73730.27
31.03.2020;64410127;"47801";;"Ипотека";"810";"Рубли";15.07.2008;14.07.2033;14.07.2033;;;;;3150000;3150000;2630747.47;2630747.47;;;12;;;;;"2";0.35;9207.62;;;
31.03.2020;64410517;;"45815";"Ипотека";"810";"Рубли";24.10.2007;23.10.2021;23.10.2021;4170;4170;31.10.2008;31.10.2008;3475395;3475395;;;3387142.53;3387142.53;0.1;;;1458227.72;1458227.72;"5";100;;3387142.53;;1458227.72
31.03.2020;64420720;"45507";;"Ипотека";"810";"Рубли";07.02.2013;07.02.2023;07.02.2023;;;;;1700000;1700000;728999.51;728999.51;;;13;;;;;"2";0.35;2551.5;;;
31.03.2020;64421403;;"45815";"Ипотека";"810";"Рубли";16.02.2007;15.02.2026;15.02.2026;4013;3745;06.04.2009;30.12.2009;6773000;6773000;;;725061.24;725061.24;0;;;1257324.66;1257324.66;"5";100;;725061.24;;1257324.66
31.03.2020;64423170;"47801";;"Ипотека";"810";"Рубли";23.01.2007;22.01.2026;22.01.2026;;;;;2800000;2800000;1653504.53;1653504.53;;;14;;;;;"2";0.35;5787.27;;;
31.03.2020;64423644;;"45815";"Ипотека";"810";"Рубли";04.04.2014;21.02.2018;21.02.2018;770;770;21.02.2018;21.02.2018;200000000;200000000;;;97895964.38;97895964.38;0.1;;;4143229.52;4143229.52;"5";100;;97895964.38;;4143229.52
31.03.2020;64432454;"47801";"45815";"Ипотека";"810";"Рубли";18.09.2012;18.09.2027;18.09.2027;1;;31.03.2020;;2642000;2642000;346458.22;346458.22;4781.37;4781.37;17.25;;;;;"2";1.5;5196.87;71.72;;
31.03.2020;64444269;;;"Ипотека";"810";"Рубли";25.06.2008;24.06.2023;24.06.2023;;1828;;31.03.2015;2763600;2763600;;;;;0;;;863628.96;863628.96;"5";100;;;;863628.96
31.03.2020;64446994;;"45815";"Ипотека";"810";"Рубли";26.02.2014;26.02.2019;26.02.2019;763;214;28.02.2018;31.08.2019;1500000;1500000;;;389303.32;389303.32;12;;;26271.05;26271.05;"5";100;;389303.32;;26271.05
31.03.2020;64447846;;"45815";"Ипотека";"810";"Рубли";06.06.2008;05.06.2025;05.06.2025;3242;3563;17.05.2011;30.06.2010;3355000;3355000;;;295911.61;295911.61;0;;;606242.59;606242.59;"5";100;;295911.61;;606242.59
31.03.2020;64450614;"47801";"45815";"Ипотека";"810";"Рубли";05.11.2014;02.11.2029;02.11.2029;1;1;31.03.2020;31.03.2020;1170000;1170000;971285.55;971285.55;4108.98;4108.98;13.1;;;10826.02;10826.02;"2";1.5;14569.28;61.63;;162.39
31.03.2020;64451390;;;"Ипотека";"810";"Рубли";23.09.2011;23.09.2023;23.09.2023;;1128;;28.02.2017;1000000;1000000;;;;;0;;;133869.43;133869.43;"5";100;;;;133869.43
31.03.2020;64453926;"47801";;"Ипотека";"810";"Рубли";25.12.2012;25.12.2022;25.12.2022;;;;;1240000;1240000;479224.9;479224.9;;;12.25;;;;;"2";0.35;1677.29;;;
31.03.2020;64454851;"47801";"45815";"Ипотека";"810";"Рубли";12.10.2012;12.10.2027;12.10.2027;1;1;31.03.2020;31.03.2020;2560000;2560000;1117466.74;1117466.74;7322.48;7322.48;12;;;4065.98;4065.98;"2";1.5;16762;109.84;;60.99
31.03.2020;64469167;"47801";;"Ипотека";"810";"Рубли";17.02.2012;17.02.2037;17.02.2037;;;;;1797000;1797000;1638838.68;1638838.68;;;12;;;;;"2";0.35;5735.94;;;
31.03.2020;64473275;"47801";;"Ипотека";"810";"Рубли";23.07.2007;22.07.2024;22.07.2024;;;;;1750000;1750000;497212.26;497212.26;;;11;;;;;"2";0.35;1740.24;;;
31.03.2020;64477831;;"45815";"Ипотека";"810";"Рубли";04.02.2008;03.02.2031;03.02.2031;4170;4170;31.10.2008;31.10.2008;2849446.98;2849446.98;;;2837679.42;2837679.42;0.1;;;1209952.24;1209952.24;"5";100;;2837679.42;;1209952.24
31.03.2020;64478086;"45507";;"Ипотека";"810";"Рубли";04.04.2013;04.04.2033;04.04.2033;;;;;2950000;2950000;2646524.29;2646524.29;;;14.5;;;;;"2";2;52930.48;;;
31.03.2020;64480675;"47801";;"Ипотека";"810";"Рубли";17.03.2008;16.03.2028;16.03.2028;;;;;2800000;2800000;897183.31;897183.31;;;12;;;;;"2";0.35;3140.14;;;
31.03.2020;64482251;"47801";;"Ипотека";"810";"Рубли";17.06.2013;17.06.2033;17.06.2033;;;;;1300000;1300000;802764.09;802764.09;;;13;;;;;"2";3;24082.92;;;
31.03.2020;64485650;;"45815";"Потреб";"810";"Рубли";28.02.2014;27.02.2019;27.02.2019;1737;1860;30.06.2015;27.02.2015;326700;326700;;;243116.14;243116.14;0;;;36373.56;36373.56;"5";100;;243116.14;;36373.56
31.03.2020;64489124;"47801";"45815";"Ипотека";"810";"Рубли";07.03.2014;01.03.2034;01.03.2034;1;1;31.03.2020;31.03.2020;1480000;1480000;1334493.08;1334493.08;2657.12;2657.12;12.85;;;14555.88;14555.88;"2";1.5;20017.4;39.86;;218.34
31.03.2020;64491660;"47801";"45815";"Ипотека";"810";"Рубли";28.09.2012;28.09.2027;28.09.2027;1;1;31.03.2020;31.03.2020;2300000;2300000;1654566.44;1654566.44;10831.79;10831.79;12.75;;;17910.45;17910.45;"2";1.5;24818.5;162.48;;268.66
31.03.2020;64492981;;"45815";"Ипотека";"810";"Рубли";30.07.2008;29.07.2027;29.07.2027;4170;4170;31.10.2008;31.10.2008;1704687;1704687;;;1702848.28;1702848.28;0.1;;;1010425.47;1010425.47;"5";100;;1702848.28;;1010425.47
31.03.2020;64495202;"47801";;"Ипотека";"810";"Рубли";30.10.2012;30.10.2031;30.10.2031;;;;;2000000;2000000;1283697.26;1283697.26;;;12.25;;;;;"2";0.35;4492.94;;;
31.03.2020;64495945;"47801";;"Ипотека";"810";"Рубли";26.02.2013;26.02.2033;26.02.2033;;;;;2763072;2763072;1943136.41;1943136.41;;;12.75;;;;;"2";0.35;6800.98;;;
31.03.2020;64498757;"47801";"45815";"Ипотека";"810";"Рубли";25.10.2013;25.10.2033;25.10.2033;1;1;31.03.2020;31.03.2020;1300000;1300000;1155965.93;1155965.93;2514.08;2514.08;12.75;;;12416.44;12416.44;"2";1.5;17339.49;37.71;;186.25
31.03.2020;64499683;"47801";;"Ипотека";"810";"Рубли";22.01.2008;21.01.2023;21.01.2023;;;;;1000000;1000000;329224.1;329224.1;;;12;;;;;"2";0.35;1152.28;;;
31.03.2020;64502872;"45507";;"Ипотека";"810";"Рубли";25.02.2013;25.02.2023;25.02.2023;;;;;1000000;1000000;424999.74;424999.74;;;12.75;;;;;"2";0.35;1487.5;;;
31.03.2020;64505318;"47801";;"Ипотека";"810";"Рубли";25.07.2013;25.07.2020;25.07.2020;;;;;2750000;2750000;87594.73;87594.73;;;10.5;;;;;"2";0.35;306.58;;;
31.03.2020;64508826;"47801";;"Ипотека";"810";"Рубли";20.12.2013;20.12.2031;20.12.2031;;;;;1050000;1050000;166127.73;166127.73;;;12.75;;;;;"2";0.35;581.45;;;
31.03.2020;64509947;"47801";;"Ипотека";"810";"Рубли";24.06.2008;23.06.2028;23.06.2028;;;;;1700000;1700000;1195803.62;1195803.62;;;12;;;;;"2";0.35;4185.31;;;
31.03.2020;64510079;"47801";"45815";"Ипотека";"810";"Рубли";20.03.2008;19.03.2028;19.03.2028;1;1;31.03.2020;31.03.2020;1584000;1584000;578760.21;578760.21;3602.9;3602.9;12;;;5919.1;5919.1;"2";1.5;8681.4;54.04;;88.79
31.03.2020;64514225;;"45815";"Ипотека";"840";"Доллары США";10.09.2008;09.09.2031;09.09.2031;1923;3198;26.12.2014;30.06.2011;129171.15;10040796.417;;;85514.61;6647264.42;0.1;;;12470.74;969381.8;"5";100;;6647264.42;;969381.8
31.03.2020;64515976;"45507";;"Ипотека";"810";"Рубли";12.11.2013;12.11.2028;12.11.2028;;;;;2500000;2500000;1951831.48;1951831.48;;;12.5;;;;;"2";0.35;6831.41;;;
31.03.2020;64522119;"47801";;"Ипотека";"810";"Рубли";27.09.2013;27.09.2028;27.09.2028;;;;;2868000;2868000;2198513.02;2198513.02;;;12.5;;;;;"2";0.35;7694.8;;;
31.03.2020;64526405;;;"Потреб";"810";"Рубли";02.04.2013;30.03.2018;30.03.2018;;1448;;14.04.2016;217800;217800;;;;;0;;;1444.32;1444.32;"5";100;;;;1444.32
31.03.2020;64530946;"47801";;"Ипотека";"810";"Рубли";16.01.2012;16.01.2023;16.01.2023;;;;;952000;952000;354448.24;354448.24;;;11.75;;;;;"2";0.35;1240.57;;;
31.03.2020;64541854;"47801";"45815";"Ипотека";"810";"Рубли";26.07.2013;25.07.2033;25.07.2033;1;1;31.03.2020;31.03.2020;1253000;1253000;743306.75;743306.75;1672.88;1672.88;12.7;;;6312.15;6312.15;"2";1.5;11149.6;25.09;;94.68
31.03.2020;64543756;"47801";;"Ипотека";"810";"Рубли";11.05.2012;11.05.2027;11.05.2027;;;;;1000000;1000000;363076.05;363076.05;;;13.25;;;;;"2";0.35;1270.77;;;
31.03.2020;64553071;"47801";;"Ипотека";"810";"Рубли";24.02.2012;24.02.2027;24.02.2027;;;;;3129000;3129000;1778460.83;1778460.83;;;11.75;;;;;"2";0.35;6224.61;;;
31.03.2020;64554488;"47801";"45815";"Ипотека";"810";"Рубли";28.05.2012;28.05.2032;28.05.2032;1;1;31.03.2020;31.03.2020;1794000;1794000;1513203.45;1513203.45;4357.7;4357.7;12.25;;;15715.16;15715.16;"2";1.5;22698.05;65.37;;235.73
31.03.2020;64557530;;"45815";"Потреб";"810";"Рубли";05.10.2011;05.10.2016;05.10.2016;1517;1395;05.02.2016;06.06.2016;2500000;2500000;;;99077.13;99077.13;16;;;65293.33;65293.33;"5";100;;99077.13;;65293.33
31.03.2020;64562424;"47801";"45815";"Ипотека";"810";"Рубли";04.12.2012;04.12.2025;04.12.2025;1;1;31.03.2020;31.03.2020;700000;700000;434184.1;434184.1;4467.48;4467.48;12;;;3836.96;3836.96;"2";1.5;6512.76;67.01;;57.55
31.03.2020;64567848;;"45815";"Ипотека";"810";"Рубли";14.02.2014;14.02.2034;14.02.2034;1541;1612;12.01.2016;02.11.2015;1920000;1920000;;;440743.76;440743.76;0;;;167850.14;167850.14;"5";100;;440743.76;;167850.14
31.03.2020;64572660;"45507";;"Ипотека";"810";"Рубли";19.12.2013;19.12.2023;19.12.2023;;;;;6781000;6781000;3389398.03;3389398.03;;;12;;;;;"2";0.35;11862.89;;;
31.03.2020;64574250;"45507";"45815";"Ипотека";"810";"Рубли";14.05.2013;31.03.2027;31.03.2027;1;1;31.03.2020;31.03.2020;4340000;4340000;2286733.91;2286733.91;19237.74;19237.74;9;1599018.75;1599018.75;34078.31;34078.31;"5";100;2286733.91;19237.74;1599018.75;34078.31
31.03.2020;64578890;;"45815";"Ипотека";"840";"Доллары США";07.09.2007;06.09.2026;06.09.2026;3989;4142;30.04.2009;28.11.2008;332493.65;25845562.649;;;322155.08;25041919.76;0.1;322.83;25094.38;56551.02;4395852.16;"5";100;;25041919.76;25094.38;4395852.16
31.03.2020;64580227;;;"Ипотека";"840";"Доллары США";30.05.2008;29.05.2030;29.05.2030;;3320;;28.02.2011;112000;8706040;;;;;0;;;10578.28;822276.15;"5";100;;;;822276.15
31.03.2020;64582710;"47801";;"Ипотека";"810";"Рубли";04.06.2013;31.05.2033;31.05.2033;;;;;1512000;1512000;1069836.59;1069836.59;;;13.1;;;;;"2";0.35;3744.43;;;
31.03.2020;64584520;;"45815";"Потреб";"810";"Рубли";08.02.2013;29.05.2017;29.05.2017;2060;2060;11.08.2014;11.08.2014;3000000;3000000;;;2414434.66;2414434.66;0;;;1642675.5;1642675.5;"5";100;;2414434.66;;1642675.5
31.03.2020;64584614;"47801";;"Ипотека";"810";"Рубли";25.02.2014;25.02.2024;25.02.2024;;;;;1000000;1000000;517538.51;517538.51;;;11.5;;;;;"2";0.35;1811.38;;;
31.03.2020;64587077;"47801";;"Ипотека";"810";"Рубли";25.10.2013;25.10.2023;25.10.2023;;;;;2880000;2880000;632388.16;632388.16;;;13;;;;;"2";0.35;2213.36;;;
31.03.2020;64596144;"47801";;"Ипотека";"810";"Рубли";16.01.2012;31.12.2029;31.12.2029;;;;;1093594.47;1093594.47;853764.47;853764.47;;;12;;;;;"2";0.35;2988.18;;;
31.03.2020;64596300;"47801";;"Ипотека";"810";"Рубли";25.11.2011;25.11.2021;25.11.2021;;;;;2215661.5;2215661.5;79735.66;79735.66;;;17.5;;;;;"2";0.35;279.07;;;
31.03.2020;64596821;"47801";;"Ипотека";"810";"Рубли";07.02.2008;06.02.2028;06.02.2028;;;;;3920000;3920000;164305.48;164305.48;;;11;0.01;0.01;;;"2";0.35;575.07;;;
31.03.2020;64599624;"47801";;"Ипотека";"810";"Рубли";26.09.2013;26.09.2023;26.09.2023;;;;;500000;500000;121006.59;121006.59;;;12.25;;;;;"2";0.35;423.52;;;
31.03.2020;64602239;"47801";;"Ипотека";"810";"Рубли";03.08.2012;03.08.2037;03.08.2037;;;;;1970000;1970000;1831044.64;1831044.64;;;13;;;;;"2";0.35;6408.66;;;
31.03.2020;64603680;;"45815";"Ипотека";"810";"Рубли";21.08.2008;20.08.2018;20.08.2018;4170;3745;31.10.2008;30.12.2009;1704687;1704687;;;1698934.12;1698934.12;0.1;;;879609.35;879609.35;"5";100;;1698934.12;;879609.35
31.03.2020;64604868;"47801";"45815";"Ипотека";"810";"Рубли";30.01.2014;30.01.2034;30.01.2034;1;1;31.03.2020;31.03.2020;1845000;1845000;1049823.97;1049823.97;2046.19;2046.19;13.25;;;6715.3;6715.3;"2";1.5;15747.36;30.69;;100.73
31.03.2020;64609779;"47801";;"Ипотека";"810";"Рубли";14.09.2011;14.09.2026;14.09.2026;;;;;12160000;12160000;1247111.76;1247111.76;;;16.5;;;;;"2";0.35;4364.89;;;
31.03.2020;64621403;"47801";;"Ипотека";"810";"Рубли";24.04.2008;23.04.2026;23.04.2026;;;;;1800000;1800000;696682.55;696682.55;;;12;;;;;"2";0.35;2438.39;;;
31.03.2020;64622337;;"45815";"Ипотека";"810";"Рубли";01.10.2013;19.03.2018;19.03.2018;1006;975;30.06.2017;31.07.2017;1120000;1120000;;;1040745.61;1040745.61;13.75;;;383411.79;383411.79;"5";100;;1040745.61;;383411.79
31.03.2020;64626973;;"45815";"Ипотека";"810";"Рубли";07.06.2013;07.06.2033;07.06.2033;1783;1885;15.05.2015;02.02.2015;1575000;1575000;;;1467268.6;1467268.6;13;;;1005884.23;1005884.23;"5";100;;1467268.6;;1005884.23
31.03.2020;64627120;"47801";;"Ипотека";"810";"Рубли";08.08.2006;07.08.2021;07.08.2021;;;;;360000;360000;65349.37;65349.37;;;14;;;;;"2";0.5;326.75;;;
31.03.2020;64635892;"47801";"45815";"Ипотека";"810";"Рубли";28.02.2012;28.02.2032;28.02.2032;1;1;31.03.2020;31.03.2020;1100000;1100000;466244.85;466244.85;1367.09;1367.09;12.25;;;4852.91;4852.91;"2";1.5;6993.67;20.51;;72.79
31.03.2020;64637913;;"45815";"Потреб";"810";"Рубли";28.08.2012;25.08.2017;25.08.2017;2148;2116;15.05.2014;16.06.2014;2000000;2000000;;;1506843.39;1506843.39;19.5;;;1727562.02;1727562.02;"5";100;;1506843.39;;1727562.02
31.03.2020;64637939;"47801";;"Ипотека";"810";"Рубли";05.12.2013;05.12.2033;05.12.2033;;;;;1985000;1985000;757951.79;757951.79;;;13;;;;;"2";0.35;2652.83;;;
31.03.2020;64645623;"47801";;"Ипотека";"810";"Рубли";27.09.2011;31.08.2026;31.08.2026;;;;;1389797.05;1389797.05;809308.93;809308.93;;;11;;;;;"2";0.35;2832.58;;;
31.03.2020;64647031;"45507";"45815";"Ипотека";"810";"Рубли";26.06.2014;23.06.2034;23.06.2034;1;1;31.03.2020;31.03.2020;15500000;15500000;44001.15;44001.15;5191.64;5191.64;12.5;145543.68;145543.68;14156.06;14156.06;"3";50;22000.58;2595.82;72771.84;7078.03
31.03.2020;64647887;"47801";;"Ипотека";"810";"Рубли";01.04.2013;01.04.2033;01.04.2033;;;;;1300000;1300000;774980.68;774980.68;;;12.25;;;;;"2";0.35;2712.43;;;
31.03.2020;64674408;"47801";;"Ипотека";"810";"Рубли";26.07.2013;25.07.2029;25.07.2029;;;;;1400000;1400000;810526.34;810526.34;;;12.2;;;;;"2";0.35;2836.84;;;
31.03.2020;64674573;"45507";;"Ипотека";"810";"Рубли";25.12.2013;25.12.2028;25.12.2028;;;;;1000000;1000000;791683.31;791683.31;;;12.8;;;;;"2";2;15833.67;;;
31.03.2020;64676028;"47801";;"Ипотека";"810";"Рубли";11.12.2013;11.12.2033;11.12.2033;;;;;2350000;2350000;2099104.01;2099104.01;;;12.75;;;;;"2";0.35;7346.86;;;
31.03.2020;64676250;"45507";;"Ипотека";"810";"Рубли";27.02.2014;27.02.2029;27.02.2029;;;;;3278000;3278000;883623.56;883623.56;;;12.75;;;;;"2";0.35;3092.68;;;
31.03.2020;64681633;"47801";;"Ипотека";"810";"Рубли";06.05.2008;05.05.2028;05.05.2028;;;;;2220150;2220150;1549700.94;1549700.94;;;13;;;;;"2";0.35;5423.95;;;
31.03.2020;64682016;"47801";"45815";"Ипотека";"810";"Рубли";21.12.2007;20.12.2027;20.12.2027;1;;31.03.2020;;1200000;1200000;787500.12;787500.12;28;28;12;;;;;"2";1.5;11812.5;0.42;;
31.03.2020;64686703;;"45815";"Ипотека";"810";"Рубли";16.04.2013;29.07.2019;29.07.2019;488;488;30.11.2018;30.11.2018;1450000;1450000;;;1326700.37;1326700.37;19.75;;;300171.02;300171.02;"5";100;;1326700.37;;300171.02
31.03.2020;64690153;"47801";;"Ипотека";"810";"Рубли";02.04.2013;02.04.2033;02.04.2033;;;;;4000000;4000000;3485152.19;3485152.19;;;12.25;;;;;"2";0.35;12198.03;;;
31.03.2020;64690165;;;"Ипотека";"810";"Рубли";29.09.2011;29.09.2026;29.09.2026;;1798;;30.04.2015;2798000;2798000;;;;;0;;;888402.14;888402.14;"5";100;;;;888402.14
31.03.2020;64690274;;"45815";"Ипотека";"810";"Рубли";04.02.2008;03.02.2031;03.02.2031;4170;4170;31.10.2008;31.10.2008;1704687;1704687;;;1697647.49;1697647.49;0.1;;;755249.5;755249.5;"5";100;;1697647.49;;755249.5
31.03.2020;64690899;"45507";;"Ипотека";"810";"Рубли";17.12.2013;17.12.2023;17.12.2023;;;;;2000000;2000000;79225.64;79225.64;;;18.5;;;;;"2";0.35;277.29;;;
31.03.2020;64693248;"47801";;"Ипотека";"810";"Рубли";12.07.2013;12.07.2033;12.07.2033;;;;;2960000;2960000;2623308.29;2623308.29;;;13;;;;;"2";0.35;9181.58;;;
31.03.2020;64699007;"47801";;"Ипотека";"810";"Рубли";03.07.2012;03.07.2030;03.07.2030;;;;;1396000;1396000;75013.81;75013.81;;;12.75;;;;;"2";0.35;262.55;;;
31.03.2020;64701068;;"45815";"Ипотека";"810";"Рубли";26.09.2007;25.09.2016;25.09.2016;4170;4170;31.10.2008;31.10.2008;4749030;4749030;;;4442279.71;4442279.71;0.1;;;1909740.37;1909740.37;"5";100;;4442279.71;;1909740.37
31.03.2020;64703230;"45507";"45815";"Ипотека";"810";"Рубли";30.03.2012;30.03.2027;30.03.2027;1;1;31.03.2020;31.03.2020;26815962;26815962;20084731.43;20084731.43;96501.48;96501.48;22;;;376040.68;376040.68;"2";3;602541.94;2895.05;;11281.22
31.03.2020;64703993;"47801";;"Потреб";"810";"Рубли";01.12.2006;30.11.2021;30.11.2021;;;;;495000;495000;108856.04;108856.04;;;13.5;;;;;"2";0.5;544.28;;;
31.03.2020;64706096;"47801";;"Ипотека";"810";"Рубли";03.06.2013;03.06.2033;03.06.2033;;;;;1200000;1200000;413378.77;413378.77;;;12.75;;;;;"2";0.35;1446.83;;;
31.03.2020;64707622;"47801";;"Ипотека";"810";"Рубли";08.06.2012;08.06.2032;08.06.2032;;;;;3500000;3500000;2476787.83;2476787.83;;;12.75;;;;;"2";0.35;8668.76;;;
31.03.2020;64709934;"45507";;"Ипотека";"810";"Рубли";06.11.2013;06.11.2033;06.11.2033;;;;;2620000;2620000;527411.61;527411.61;;;13.75;;;;;"2";0.35;1845.94;;;
31.03.2020;64713907;"47801";;"Ипотека";"810";"Рубли";21.03.2013;21.03.2023;21.03.2023;;;;;600000;600000;145939.71;145939.71;;;12.25;;;;;"2";0.35;510.79;;;
31.03.2020;64717308;"45507";;"Ипотека";"810";"Рубли";23.10.2013;23.10.2033;23.10.2033;;;;;1293000;1293000;1172392.11;1172392.11;;;14;;;;;"2";0.35;4103.37;;;
31.03.2020;64718341;"47801";"45815";"Ипотека";"810";"Рубли";07.06.2013;31.05.2038;31.05.2038;1;1;31.03.2020;31.03.2020;1328000;1328000;1255687.05;1255687.05;1129.23;1129.23;13.35;;;14189.5;14189.5;"2";1.5;18835.31;16.94;;212.84
31.03.2020;64720799;"45507";;"Ипотека";"810";"Рубли";08.10.2013;08.10.2033;08.10.2033;;;;;1629000;1629000;1469621.59;1469621.59;;;13.25;;;;;"2";0.35;5143.68;;;
