"DT";"DEAL_ID";"BALMAIN";"BALPRMN";"PRODUCT";"CURCODENUM";"CURCODE";"DOCBEGINDATE";"ENDDATEWOPROLONG";"ENDDATEWITHPROLONG";"OVERDUETERMMAINDAY";"OVERDUETERMPERCDAY";"OVERDUEDATEMAIN";"OVERDUEDATEPERC";"DOCSUMCUR";"DOCSUMRUR";"MAINRESTCUR";"MAINRESTRUR";"PRMNRESTCUR";"PRMNRESTRUR";"DOCPROCRATE";"SUMNACHPERCBALCUR";"SUMNACHPERCBALRUR";"SUMPRPERCBALCUR";"SUMPRPERCBALRUR";"RISKGROUP254";"RESERVERATERPBU";"SUMRESERVEMAINRPBU";"SUMRESERVEPRMNRPBU";"SUMRESERVEPRMN";"SUMRESERVEPRPR"
31.03.2020;16303004;;"45815";"Пенсионеры";"810";"Рубли";20.08.2013;20.06.2016;20.06.2016;1533;1533;20.01.2016;20.01.2016;100000;100000;;;21564.45;21564.45;25.5;165.27;165.27;23717.6;23717.6;"5";100;;21564.45;165.27;23717.6
31.03.2020;16438466;;"45815";"Пенсионеры";"810";"Рубли";18.09.2013;20.09.2016;20.09.2016;1472;1442;21.03.2016;20.04.2016;100000;100000;;;23347.19;23347.19;25.5;178.93;178.93;24140.08;24140.08;"5";100;;23347.19;178.93;24140.08
31.03.2020;16449069;;"45815";"Пенсионеры";"810";"Рубли";20.09.2013;20.09.2016;20.09.2016;1345;1345;26.07.2016;26.07.2016;67000;67000;;;6538.18;6538.18;25.5;50.1;50.1;6358.16;6358.16;"5";100;;6538.18;50.1;6358.16
31.03.2020;16496475;;"45815";"Пенсионеры";"810";"Рубли";25.09.2013;20.09.2016;20.09.2016;1839;1808;20.03.2015;20.04.2015;98000;98000;;;57840.19;57840.19;25.5;443.29;443.29;74593.18;74593.18;"5";100;;57840.19;443.29;74593.18
31.03.2020;16529185;;"45815";"Пенсионеры";"810";"Рубли";03.10.2013;20.10.2016;20.10.2016;1533;1533;20.01.2016;20.01.2016;66000;66000;;;23725.23;23725.23;25.5;181.83;181.83;26051.96;26051.96;"5";100;;23725.23;181.83;26051.96
31.03.2020;16558445;;"45815";"Пенсионеры";"810";"Рубли";09.10.2013;20.10.2016;20.10.2016;1412;1412;20.05.2016;20.05.2016;100000;100000;;;22002.08;22002.08;25.5;168.62;168.62;22302.15;22302.15;"5";100;;22002.08;168.62;22302.15
31.03.2020;16750403;;"45815";"Пенсионеры";"810";"Рубли";07.11.2013;20.11.2015;20.11.2015;1707;1686;30.07.2015;20.08.2015;100000;100000;;;24808.96;24808.96;23.9;178.2;178.2;28460.9;28460.9;"5";100;;24808.96;178.2;28460.9
31.03.2020;17068655;;"45815";"Пенсионеры";"810";"Рубли";14.11.2013;21.11.2016;21.11.2016;1625;1625;20.10.2015;20.10.2015;66000;66000;;;32886.04;32886.04;25.5;252.04;252.04;38843.26;38843.26;"5";100;;32886.04;252.04;38843.26
31.03.2020;17069716;;"45815";"Пенсионеры";"810";"Рубли";14.11.2013;21.11.2016;21.11.2016;1498;1442;24.02.2016;20.04.2016;100000;100000;;;32459.59;32459.59;25.5;248.77;248.77;33809.7;33809.7;"5";100;;32459.59;248.77;33809.7
31.03.2020;17088141;;"45815";"Пенсионеры";"810";"Рубли";18.11.2013;21.11.2016;21.11.2016;1259;1259;20.10.2016;20.10.2016;66000;66000;;;4089.92;4089.92;25.5;31.34;31.34;3719.94;3719.94;"5";100;;4089.92;31.34;3719.94
