"REP_DT";"DEAL_ID";"PRNT_DEAL_ID";"DEAL_TYPE";"ACCT_BACC";"ACCT_NUMBER24";"CRT_CRNC_ACC";"CRT_CRNC";"CRT_FD";"CRT_TD";"CRT_TD1";"EX";"EX10";"EXF";"EXF10";"CRT_SUM";"CRT_SUM_RUR";"CURRATE";"SUM_RUR13";"SUM_RUR24";"RATE";"SUM_RUR47427";"SUM_RUR459";"GROUP_NUM";"COUNTREZ_PCT";"SUM_RUR5";"SUM_RUR6";"SUM_RUR47425";"SUM_RUR45918"
31.03.2020;319820454;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";06.04.2017;23.10.2017;23.10.2017;0;786;0;786;276578.37;276578.37;1;0;0;0.16;0;40130.39;"5";1;0;0;0;40130.39
31.03.2020;324320524;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";07.04.2017;24.10.2017;24.10.2017;0;786;0;786;387875.04;387875.04;1;0;0;0.16;0;56279.08;"5";1;0;0;0;56279.08
31.03.2020;337768397;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";10.04.2017;25.10.2017;25.10.2017;0;786;0;786;418050.73;418050.73;1;0;0;0.16;0;60657.44;"5";1;0;0;0;60657.44
31.03.2020;342259464;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";11.04.2017;26.10.2017;26.10.2017;0;786;0;786;594912.42;594912.42;1;0;0;0.16;0;86319.35;"5";1;0;0;0;86319.35
31.03.2020;346763289;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";12.04.2017;26.10.2017;26.10.2017;0;786;0;786;473516.5;473516.5;1;0;0;0.16;0;68705.3;"5";1;0;0;0;68705.3
31.03.2020;351263851;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";13.04.2017;27.10.2017;27.10.2017;0;786;0;786;1307056.42;1307056.42;1;0;0;0.16;0;189648.51;"5";1;0;0;0;189648.51
31.03.2020;360381490;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";14.04.2017;27.10.2017;27.10.2017;0;786;0;786;78241.65;78241.65;1;0;0;0.16;0;11352.54;"5";1;0;0;0;11352.54
31.03.2020;366213521;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";18.04.2017;27.10.2017;27.10.2017;0;786;0;786;498552.29;498552.29;1;0;0;0.16;0;72337.89;"5";1;0;0;0;72337.89
31.03.2020;370727617;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";19.04.2017;27.10.2017;27.10.2017;0;786;0;786;739674.2;739674.2;1;0;0;0.16;0;107323.69;"5";1;0;0;0;107323.69
31.03.2020;375236667;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";20.04.2017;30.10.2017;30.10.2017;0;786;0;786;7120400;7120400;1;0;0;0.16;0;1033140.78;"5";1;0;0;0;1033140.78
31.03.2020;379755202;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";21.04.2017;30.10.2017;30.10.2017;0;786;0;786;720246.67;720246.67;1;0;0;0.16;0;104504.84;"5";1;0;0;0;104504.84
31.03.2020;393264773;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";24.04.2017;31.10.2017;31.10.2017;0;786;0;786;340000;340000;1;0;0;0.16;0;49332.6;"5";1;0;0;0;49332.6
31.03.2020;402313257;63088679;"2Транш";"45206";" ";"Рубли";"Рубли";26.04.2017;31.10.2017;31.10.2017;0;786;0;786;1083513.19;1083513.19;1;0;0;0.16;0;157213.31;"5";1;0;0;0;157213.31
31.03.2020;406830778;63088679;"2Транш";"45206";"45812";"Рубли";"Рубли";27.04.2017;01.11.2017;01.11.2017;882;786;882;786;8293178.83;8293178.83;1;0;2749772.89;0.16;0;1470900.51;"5";1;0;2749772.89;0;1470900.51
